T;alpha
716.199;0.0999342563418276
716.299;0.10007256151902
716.399;0.100210866696211
716.499;0.100355015754129
716.599;0.100498190831925
716.699;0.100642339889843
716.799;0.100779671086912
716.899;0.100917002283983
716.999;0.101070891143112
717.099;0.101225753982361
717.199;0.10137964284149
717.299;0.101531583740376
717.399;0.101676706778415
717.499;0.101823777776695
717.599;0.101969874794856
717.699;0.102121815693742
717.799;0.10227570455287
717.899;0.102424723511393
717.999;0.102579586350643
718.099;0.102726657348924
718.199;0.102873728347204
718.299;0.103019825365365
718.399;0.103164948403402
718.499;0.10330909746132
718.599;0.103452272539118
718.699;0.103597395577156
718.799;0.103744466575438
718.899;0.10388374573275
718.999;0.104028868770788
719.099;0.10416717394798
719.199;0.104303531164928
719.299;0.104436966441515
719.399;0.104575271618706
719.499;0.104709680875413
719.599;0.104839220231516
719.699;0.104965837647253
719.799;0.105087585162387
719.899;0.105205436757036
719.999;0.10532718427217
720.099;0.105447957807181
720.199;0.105569705322314
720.299;0.105691452837447
720.399;0.105818070253186
720.499;0.105947609609287
720.599;0.106084940806358
720.699;0.106213506182338
720.799;0.106344019518561
720.899;0.106476480815026
720.999;0.106614785992217
721.099;0.10675406514953
721.199;0.106891396346601
721.299;0.107029701523792
721.399;0.107167032720863
721.499;0.1073121557589
721.599;0.107458252777061
721.699;0.107608245715706
721.799;0.107763108554954
721.899;0.107911153533356
721.999;0.108058224531637
722.099;0.108205295529919
722.199;0.108351392548078
722.299;0.108501385486723
722.399;0.10864650852476
722.499;0.108792605542921
722.599;0.108933832660476
722.699;0.109077981718392
722.799;0.109220182816069
722.899;0.109357514013138
722.999;0.109495819190331
723.099;0.1096331503874
723.199;0.10977827342544
723.299;0.109921448503236
723.399;0.110059753680427
723.499;0.110191240996771
723.599;0.110320780352872
723.699;0.110451293689096
723.799;0.110571093243987
723.899;0.110685048918152
723.999;0.110806796433285
724.099;0.110928543948418
724.199;0.111050291463551
724.299;0.111173012958805
724.399;0.111294760473939
724.499;0.111413586048709
724.599;0.111527541722874
724.699;0.111647341277764
724.799;0.111769088792897
724.899;0.11189083630803
724.999;0.112012583823163
725.099;0.112134331338298
725.199;0.112257052833551
725.299;0.112378800348684
725.399;0.112504443784303
725.499;0.112626191299436
725.599;0.112747938814569
725.699;0.11287747817067
725.799;0.113002147626168
725.899;0.113124869121421
725.999;0.113253434497402
726.099;0.113383947833625
726.199;0.113505695348758
726.299;0.11362646888377
726.399;0.113748216398903
726.499;0.113876781774884
726.599;0.114008269091228
726.699;0.114146574268419
726.799;0.114280983525126
726.899;0.114419288702318
726.999;0.114557593879509
727.099;0.114694925076579
727.199;0.114836152194134
727.299;0.114972509411083
727.399;0.115105944687669
727.499;0.11523548404377
727.599;0.115369893300478
727.699;0.115514042358396
727.799;0.115652347535587
727.899;0.115789678732657
727.999;0.115927983909849
728.099;0.116065315106919
728.199;0.116211412125079
728.299;0.116354587202876
728.399;0.116496788300551
728.499;0.116642885318711
728.599;0.116782164476023
728.699;0.116928261494183
728.799;0.117074358512343
728.899;0.117220455530502
728.999;0.117371422449268
729.099;0.117523363348154
729.199;0.117670434346435
729.299;0.117817505344716
729.399;0.117968472263482
729.499;0.118120413162368
729.599;0.118266510180527
729.699;0.118412607198687
729.799;0.118558704216847
729.899;0.118704801235007
729.999;0.118846028352561
730.099;0.1189911513906
730.199;0.119137248408761
730.299;0.11928334542692
730.399;0.119434312345684
730.499;0.119595019065661
730.599;0.119758647726
730.699;0.119917406485734
730.799;0.120075191265347
730.899;0.120230054104596
730.999;0.120382968983603
731.099;0.120543675703579
731.199;0.120705356403676
731.299;0.120868011083894
731.399;0.121029691783991
731.499;0.121192346464208
731.599;0.12133941746249
731.699;0.121485514480649
731.799;0.12163161149881
731.899;0.121777708516969
731.999;0.12192477951525
732.099;0.1220796423545
732.199;0.122232557233507
732.299;0.122377680271545
732.399;0.122523777289706
732.499;0.122672796248229
732.599;0.122817919286268
732.699;0.122964016304427
732.799;0.123105243421982
732.899;0.123245496559415
732.999;0.123392567557696
733.099;0.123538664575856
733.199;0.123684761594016
733.299;0.123827936671813
733.399;0.123965267868882
733.499;0.124097729165348
733.599;0.124227268521449
733.699;0.124349990016703
733.799;0.124479529372805
733.899;0.124609068728908
733.999;0.124736660124768
734.099;0.124864251520626
734.199;0.124994764856849
734.299;0.125124304212952
734.399;0.125252869588932
734.499;0.125376565064307
734.599;0.12550707840053
734.699;0.125636617756631
734.799;0.125767131092854
734.899;0.125896670448955
734.999;0.126026209805058
735.099;0.12615574916116
735.199;0.126285288517261
735.299;0.126406062052274
735.399;0.126535601408375
735.499;0.126662218824114
735.599;0.126791758180215
735.699;0.126922271516438
735.799;0.127051810872541
735.899;0.127179402268399
735.999;0.127309915604622
736.099;0.127440428940845
736.199;0.127573864217432
736.299;0.127703403573533
736.399;0.127833916909756
736.499;0.127963456265858
736.599;0.128094943582201
736.699;0.128233248759393
736.799;0.128371553936584
736.899;0.128506937173412
736.999;0.128636476529514
737.099;0.128771859766342
737.199;0.128916982804381
737.299;0.129053340021331
737.399;0.129183853357553
737.499;0.129314366693776
737.599;0.129447801970362
737.699;0.129578315306584
737.799;0.129707854662686
737.899;0.129835446058546
737.999;0.129957193573679
738.099;0.13008575894966
738.199;0.130215298305761
738.299;0.130344837661863
738.399;0.130476324978207
738.499;0.130615604135519
738.599;0.130753909312712
738.699;0.130898058370629
738.799;0.131044155388788
738.899;0.131184408526222
738.999;0.131323687683534
739.099;0.131461992860725
739.199;0.131605167938522
739.299;0.13174931699644
739.399;0.131886648193511
739.499;0.132024953370702
739.599;0.132163258547892
739.699;0.132309355566053
739.799;0.132447660743244
739.899;0.132585965920435
739.999;0.132723297117506
740.099;0.132864524235061
740.199;0.133011595233342
740.299;0.133157692251501
740.399;0.13330281528954
740.499;0.133462548029394
740.599;0.133619358828886
740.699;0.133773247688014
740.799;0.133928110527265
740.899;0.134079077446029
740.999;0.13422517446419
741.099;0.134370297502228
741.199;0.134516394520388
741.299;0.134669309399396
741.399;0.134807614576587
741.499;0.134944945773656
741.599;0.135083250950848
741.699;0.135221556128039
741.799;0.13535888732511
741.899;0.135491348621574
741.999;0.135628679818645
742.099;0.135766984995836
742.199;0.135899446292302
742.299;0.136029959628524
742.399;0.136160472964747
742.499;0.136290012320849
742.599;0.136424421577555
742.699;0.136559804814384
742.799;0.136689344170485
742.899;0.136825701387434
742.999;0.136963032584505
743.099;0.137098415821334
743.199;0.137236720998525
743.299;0.137375026175715
743.399;0.137513331352906
743.499;0.137644818669251
743.599;0.137779227925957
743.699;0.137916559123028
743.799;0.138062656141187
743.899;0.138209727139469
743.999;0.138344136396176
744.099;0.138482441573367
744.199;0.138620746750559
744.299;0.138758077947629
744.399;0.13890417496579
744.499;0.13905124596407
744.599;0.139197342982229
744.699;0.13934344000039
